id,Column1,date,article_type,title,url,Scholar,Activist,Monumental Memorialization,Mention of Scholarly Work,Social/Political Advocacy,Coalition Building,Out of the Mouth of Academics,Out of the Mouth of Activists,Collective Synecdoche,passage
0,201,3/22/70,Archives,National Push for School Integration Losing Momentum,https://www.nytimes.com/1970/03/22/archives/national-push-for-school-integration-losing-momentum.html,,1,,,1,,1,1,,"Black leaders such as Charles V. Hamilton, professor of political science at Columbia University, have been expres sing concern about placing Ne gro children in “educationally racist” white classrooms, an ap prehension expressed by W. E. B. Du Bois in the 1930's."
1,75,8/14/20,Opinion,Black Like Kamala,https://www.nytimes.com/2020/08/14/opinion/kamala-harris-black-identity.html,1,,,1,1,,,,,"In other words, it is the reality of racism — the ongoing production of race by institutions and structures of racial domination — that fuels this process of group formation. In his 1940 book, “Dusk of Dawn: An Essay Toward an Autobiography of a Race Concept,” W. E. B. Du Bois captured this dynamic in a single sentence, the final point in an imagined dialogue with a white interlocutor. “The Black man,” he wrote, “is a person who must ride ‘Jim Crow’ in Georgia.”"
2,106,12/17/15,Education,"Walter J. Leonard, Pioneer of Affirmative Action in Harvard Admissions, Dies at 86",https://www.nytimes.com/2015/12/17/education/walter-j-leonard-pioneer-of-affirmative-action-in-harvard-admissions-dies-at-86.html,,,1,,,1,1,,,Dr. Leonard was assistant dean of Howard University School of Law when he left for Harvard. At Harvard he was chairman of the committee that created the university’s W. E. B. Du Bois Institute for Afro-American Research.
3,154,8/22/94,U.S.,"N.A.A.C.P. Will Remain Strong, Supporters Say",https://www.nytimes.com/1994/08/22/us/naacp-will-remain-strong-supporters-say.html,,1,1,,,,,,,"""We've been through the Black Power era, the Negro era and the W. E. B. Du Bois period,"" Mrs. Dukes said. ""We've survived 85 years. I'm confident we can survive this."""
4,104,12/2/09,Opinion,Freedom’s Martyr,https://www.nytimes.com/2009/12/02/opinion/02reynolds.html,,1,,,1,,,,1,"Second, he was held in high esteem by many great men of his day. Ralph Waldo Emerson compared him to Jesus, declaring that Brown would “make the gallows as glorious as the cross.” Henry David Thoreau placed Brown above the freedom fighters of the American Revolution. Frederick Douglass said that while he had lived for black people, John Brown had died for them. A later black reformer, W. E. B. Du Bois, called Brown the white American who had “come nearest to touching the real souls of black folk.” Du Bois was right. Unlike nearly all other Americans of his era, John Brown did not have a shred of racism. He had long lived among African-Americans, trying to help them make a living, and he wanted blacks to be quickly integrated into American society. When Brown was told he could have a clergyman to accompany him to the gallows, he refused, saying he would be more honored to go with a slave woman and her children."
5,145,9/18/13,Business,"Inspired by Professor, Investor Makes Big Gift for Black Studies",https://dealbook.nytimes.com/2013/09/17/inspired-by-professor-investor-makes-big-gift-for-black-studies,,,1,,,,1,,,"Now their work and Mr. Hutchins’s money will create the Hutchins Center, named at the insistence of Professor Gates. It will unite nine entities, including the W. E. B. Du Bois Institute for African and African-American  Research, the Hiphop Archive and Research Institute and the Ethelbert Cooper Gallery of African and African American Art."
6,194,3/30/13,Opinion,King Cotton’s Long Shadow,https://opinionator.blogs.nytimes.com/2013/03/30/king-cottons-long-shadow,1,,,1,1,,,,,"We are accustomed to reckoning the legacy of slavery in the United States in terms of black disadvantage. The centrality of slavery to the nation’s economic development, however, suggests that any calculation of the nation’s unpaid debt for slavery must include a measure of the wealth it produced, of advantage as well as disadvantage. The United States, as W. E. B. Du Bois wrote, was “built upon a groan.”"
7,133,2/13/92,Archives,Review/Television; Black Conservatives Get A Chance to Be Heard,https://www.nytimes.com/1992/02/13/news/review-television-black-conservatives-get-a-chance-to-be-heard.html,,1,,,1,,,,,"Mr. Page notes that the debate among black Americans over the best road to equality and success did not begin just the other day. Booker T. Washington's post-Civil War vision of gradual economic achievement through education was later written off as appeasement by W. E. B. Du Bois, who demanded full equality at once."
8,130,3/26/09,U.S.,"John Hope Franklin, Scholar of African-American History, Is Dead at 94",https://www.nytimes.com/2009/03/26/us/26franklin.html,,1,,,1,,,,," In the 1920s, the family moved to Tulsa, and at age 11 he was taken to hear the great civil rights leader W. E. B. Du Bois, with whom Dr. Franklin later became friends."
9,59,11/7/93,New York,ABOUT BOOKS,https://www.nytimes.com/1993/11/07/nyregion/about-books.html,,1,,1,1,,,,,"Now it turns out that for the last eight years, another major book was in the works: ""W. E. B. Du Bois: Biography of a Race, 1868-1919"" (Henry Holt & Company, New York, $35), a 735-page tome, described by Dr. Lewis in his preface as a project that ""often rendered me unaware of the routine of daily life."" Du Bois died in 1963 at the age of 95, and the research involved travel over three continents, inquiry into 28 archives and 99 library collections and interviews with more than 150 people. ""And alas,"" Dr. Lewis said recently, ""all this for what it turns out is only volume one."" But ""Du Bois"" -- a candidate for the National Book Award in nonfiction -- is a powerfully thorough book that because its subject was such a extraordinary leader, so central to the political controversies around him, it compels a reappraisal of the post-Civil War era. Du Bois is perhaps best known in the civil rights movement for his insistence on full equality for his fellow blacks, as opposed to the accommodative policies of Booker T. Washington. But Dr. Lewis's book reveals much more about Du Bois as political strategist. In 1911, for example, when Woodrow Wilson, then Governor of New Jersey, prepared to enter the Presidential race, he asked Du Bois to influence blacks to depart from their traditional Republican stance and vote Democratic. After Wilson won with a larger-than-expected vote and segregationist politics continued, Du Bois retaliated with searing anti-Wilson editorials in The Crisis, the magazine of the National Association for the Advancement of Colored People."
10,86,11/2/95,Opinion,Where the Auto Mechanic Meets Plato,https://www.nytimes.com/1995/11/02/opinion/l-where-the-auto-mechanic-meets-plato-006050.html,,,,,,,,,,"When reading Plato about justice, for example, an automobile mechanic may just awaken to a profound and unexpected sense of the good. A Blue Cross customer representative may find W. E. B. Du Bois no less inspiring than Mr. Levine found John Keats."
11,41,3/1/87,U.S.,DU BOIS YARD YIELDS CLUES TO LIVES OF BLACKS IN U.S.,https://www.nytimes.com/1987/03/01/us/du-bois-yard-yields-clues-to-lives-of-blacks-in-us.html,,,1,,,,,,,"Du Bois' great-grandfather, Tom Burghardt, probably came to the Berkshires with a Dutch family, Mr. Paynter said. Burghardt was freed from slavery in the 1780's because he fought in the Revolutionary War. W. E. B. Du Bois was born in the village of Great Barrington in 1868, and died in self-exile in Ghana. He was given the house for his 60th birthday by friends, who included Clarence Darrow, the lawyer. Du Bois later sold the house because he could not afford to keep it up, and the property was eventually turned over to the Du Bois Foundation, which dedicated it as a memorial park in 1969."
